-,-,-
--start---
-28, -20, 1059
-20, -20, 1031
-18, -22, 1029
-30, -30, 1048
-6, -32, 967
-16, -33, 1008
-16, -33, 1008
-17, -34, 1012
-20, -33, 1021
-23, -32, 1033
-,-,-
-15, -11, 1018
-16, -10, 1014
-15, -7, 1016
-15, -9, 1017
-15, -10, 1016
-15, -10, 1016
-15, -10, 1017
-,-,-
-13, -8, 1019
-18, -11, 1015
-15, -11, 1015
-15, -11, 1015
-15, -9, 1017
-16, -9, 1017
-15, -9, 1016
-,-,-
-16, -8, 1017
-13, -15, 1014
-18, -4, 1019
-16, -8, 1017
-16, -10, 1016
-16, -10, 1017
-,-,-
-16, -9, 1017
-15, -9, 1015
-15, -9, 1018
-16, -10, 1016
-18, -3, 1019
-,-,-
-16, -10, 1018
-15, -9, 1016
-15, -10, 1016
-15, -10, 1016
-15, -10, 1017
-15, -9, 1017
-16, -9, 1016
-15, -10, 1016
-15, -9, 1017
-15, -10, 1017
-15, -10, 1017
-16, -9, 1017
-15, -9, 1016
-16, -9, 1017
-16, -10, 1017
-15, -9, 1017
-,-,-
-15, -10, 1014
-15, -10, 1014
-19, -9, 1020
-13, -8, 1017
-15, -10, 1018
-16, -10, 1017
-15, -10, 1016
-15, -9, 1018
-15, -9, 1018
-15, -9, 1017
-14, -10, 1016
-16, -9, 1017
-15, -9, 1017
-15, -9, 1017
-15, -9, 1017
-15, -10, 1017
-16, -10, 1017
-16, -10, 1017
-,-,-
-10, 0, 1026
-17, -19, 1007
-16, -4, 1022
-16, -8, 1019
-16, -8, 1019
-13, -8, 1016
-17, -12, 1017
-16, -10, 1017
-,-,-
-13, -19, 1017
-11, -43, 1018
-24, 38, 1019
-24, 38, 1019
-15, -8, 1019
-16, -12, 1016
-16, -10, 1017
-,-,-
-20, -3, 1021
-14, -21, 1013
-13, -8, 1019
-18, -2, 1019
-16, -9, 1016
-16, -9, 1016
-16, -12, 1016
-,-,-
-16, -4, 1019
-14, -18, 1014
-17, -21, 1018
-14, 8, 1018
-14, -6, 1018
-14, -6, 1018
-17, -12, 1016
-15, -10, 1016
-15, -9, 1018
-,-,-
-14, -9, 1013
-14, -9, 1018
-14, -9, 1018
-15, -8, 1015
-14, -8, 1014
-13, -9, 1012
-13, -8, 1016
-17, -11, 1014
-17, -11, 1014
84, 57, 1013
-43, -37, 1013
-86, -49, 1015
-,-,-
-10, -8, 1020
-19, -10, 1011
-14, -8, 1014
-14, -8, 1014
-14, -9, 1014
-15, -9, 1014
-14, -9, 1014
-14, -10, 1014
-15, -10, 1014
-15, -10, 1014
-15, -9, 1014
-14, -8, 1015
-14, -9, 1014
-14, -9, 1015
-15, -9, 1015
-15, -9, 1015
-14, -9, 1015
-14, -10, 1015
-14, -8, 1016
-14, -8, 1015
-14, -9, 1015
-14, -9, 1015
-,-,-
-14, -8, 1016
-17, -11, 1017
-14, -9, 1016
-14, -9, 1016
-15, -9, 1016
-15, -9, 1016
-15, -9, 1016
-,-,-
-20, -8, 1019
-20, -8, 1019
-11, -11, 1013
-14, -9, 1016
-,-,-
-19, -10, 1016
-19, -10, 1016
-12, -9, 1013
-15, -9, 1015
-16, -8, 1015
-15, -9, 1016
-15, -10, 1016
-,-,-
-16, -11, 1013
-13, -7, 1016
-13, -7, 1016
-15, -9, 1014
-14, -8, 1014
-15, -9, 1014
-15, -9, 1015
-15, -9, 1015
-15, -9, 1014
-,-,-
-8, -10, 1015
-22, -9, 1015
-14, -9, 1015
-14, -9, 1015
-15, -10, 1014
-15, -9, 1014
-15, -9, 1014
-15, -9, 1014
-14, -8, 1014
-14, -8, 1014
-15, -9, 1014
-14, -10, 1015
-15, -10, 1014
-15, -9, 1014
-14, -9, 1014
-14, -9, 1014
-14, -9, 1015
-15, -9, 1014
-15, -10, 1015
-15, -10, 1014
-15, -10, 1015
-15, -9, 1015
-15, -9, 1015
-15, -8, 1014
-,-,-
-15, -10, 1021
-16, -10, 1013
-14, -6, 1017
-14, -6, 1017
-17, -11, 1014
-15, -9, 1016
-,-,-
-17, -9, 1018
-15, -11, 1016
-15, -9, 1017
-15, -9, 1016
